dep-left-nsubjpass-deps,dep-left-:-tags,dep-left-jjr-tags,dep-right-nnps-tags,concatenated-types,dep-right-advmod-deps,dep-right-appos-deps,dep-left-conj-deps,dep-right-punct-deps,dep-right-nsubjpass-deps,dep-right-dobj-deps,dep-right-advcl-deps,dep-right-rb-tags,dep-right-nn-tags,head-tag,dep-left-dist,dep-left-acomp-deps,dep-right-csubj-deps,dep-left-nnps-tags,dep-right-vbg-tags,dep-left-csubj-deps,dep-left-jjs-tags,dep-left-dative-deps,dep-left-attr-deps,dep-left-advmod-deps,dep-right-vbd-tags,dep-right-:-tags,dep-right-pobj-deps,dep-right-vbn-tags,dep-left-pobj-deps,"dep-left-,-tags",dep-left-poss-deps,dep-left-nsubj-deps,dep-left-prep-deps,dep-left-relcl-deps,dep-right-''-tags,dep-left-ccomp-deps,dep-right-dep-deps,dep-left-punct-deps,dep-left-vbz-tags,ent1-dep,dep-right-vb-tags,dep-left-npadvmod-deps,dep-right-vbz-tags,dep-dist,dep-right-ccomp-deps,dep-left-jj-tags,dep-right-parataxis-deps,dep-right-oprd-deps,"dep-right-,-tags",dep-left-prp-tags,dep-right-md-tags,dep-left-pcomp-deps,dep-right-jj-tags,dep-right-dt-tags,dep-right-agent-deps,ent2-dep,dep-right-xcomp-deps,dep-right-dist,dep-right-npadvmod-deps,dep-left-rb-tags,dep-left-nn-tags,ent2-type,dep-left-det-deps,dep-left-dep-deps,dep-right-nnp-tags,id,dep-left-vbp-tags,dep-right-``-tags,dep-left-vbn-tags,dep-right-pcomp-deps,dep-left-vbg-tags,dep-right-acomp-deps,dep-right-jjs-tags,dep-right-relcl-deps,dep-left-compound-deps,dep-right-poss-deps,dep-left-parataxis-deps,dep-right-in-tags,dep-right-acl-deps,dep-right-nns-tags,dep-right-cd-tags,dep-left-advcl-deps,dep-left-cd-tags,label,dep-left-``-tags,dep-right-attr-deps,dep-right-conj-deps,dep-left-dt-tags,dep-left-xcomp-deps,dep-left-nns-tags,dep-right-nsubj-deps,dep-left-in-tags,dep-left-intj-deps,dep-right-prep-deps,dep-left-oprd-deps,dep-left-amod-deps,dep-left-appos-deps,ent1,dep-right-det-deps,dep-left-vbd-tags,dep-right-nummod-deps,ent2,dep-left-dobj-deps,dep-right-nmod-deps,dep-left-vb-tags,dep-right-compound-deps,dep-right-vbp-tags,dep-left-nnp-tags,sent,dep-left-acl-deps,ent1-type,dep-right-intj-deps,dep-left-agent-deps,dep-left-md-tags,dep-left-nmod-deps 
,,,,PERSONPERSON,,,,,,,,,,VERB,1,,,,,,,,,,,,1,,,,,1,,,,,,,,pobj,1,,,5,1,,,,,,,,,,,nsubj,,3,,,,PERSON,,,1,68,,,,,,,,,,,,1,,,,,,NON,,,,,,,,,,1,,,,Barry Goldwater,,,,Wright,,,,,,1,"But four years later , Wright said he would vote against Barry Goldwater because he felt the Arizona senator supported a ` ` slowdown on civil rights ' ' and would take a ` ` harder , more dangerous line on foreign relations. ' '",,PERSON,,,,
,,,,PERSONGPE,,,,,,,,,,VERB,5,,,,,,,,,,,,,,,,,1,,,,2,,,,nsubj,,,,7,,,,,,,,,,,,compound,,1,,,1,GPE,,,1,68,,,,,,,,,1,,,,,,,1,,NON,,,,,,,1,,,,,,,Wright,,2,,Arizona,,,1,,,1,"But four years later , Wright said he would vote against Barry Goldwater because he felt the Arizona senator supported a ` ` slowdown on civil rights ' ' and would take a ` ` harder , more dangerous line on foreign relations. ' '",,PERSON,,,,
,,,,PERSONGPE,,,,,,,,,,VERB,4,,,,,,,,,,,,1,,,,,1,,,,1,,,,pobj,,,,7,,,,,,,,,,,,compound,,2,,,1,GPE,,,1,68,,,,,,,,,1,,,1,,,,1,,LIV,,,,,,,,,,1,,,,Barry Goldwater,,2,,Arizona,,,,,,1,"But four years later , Wright said he would vote against Barry Goldwater because he felt the Arizona senator supported a ` ` slowdown on civil rights ' ' and would take a ` ` harder , more dangerous line on foreign relations. ' '",,PERSON,,,,
,,,,GPEGPE,,,,,,,,,,PROPN,2,,,,,,,,,,,,,,,,,,,,,,,,,ROOT,,,,3,,,,,,,,,,,,nmod,,0,,,,GPE,,,,70,,,,,,,,,,,,,,,,,,NON,,,,,,,,,,,,,1,STOCKTON,,,,England,,,,,,2,"STOCKTON-ON-TEES , England -LRB- AP -RRB- _ Michael Minns received $160 , 000 from the father he never knew and thought was killed in World War II .",,GPE,,,,1
,,,,GPEGPE,,1,,,,,,,,PROPN,0,,,,,,,,,,,,,,,,,,,,,,,,,nmod,,,,3,,,,,,,,,,,,ROOT,,2,,,,GPE,,,2,70,,,,,,,,,,,,,,,,,,NON,,,,,,,,,,,,,,England,,,,STOCKTON,,1,,,,,"STOCKTON-ON-TEES , England -LRB- AP -RRB- _ Michael Minns received $160 , 000 from the father he never knew and thought was killed in World War II .",,GPE,,,,
,,,,ORGGPE,,1,,,,,,,,PROPN,0,,,,,,,,,,,,,,,,,,,,,,,,,appos,,,,2,,,,,,,,,,,,ROOT,,1,,,,GPE,,,1,70,,,,,,,,,,,,,,,,,,NON,,,,,,,,,,,,,,AP,,,,STOCKTON,,,,,,,"STOCKTON-ON-TEES , England -LRB- AP -RRB- _ Michael Minns received $160 , 000 from the father he never knew and thought was killed in World War II .",,ORG,,,,
,,,,PERSONGPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nsubj,,,,,,,,,,,,,,,,ROOT,,,,,,GPE,,,,70,,,,,,,,,,,,,,,,,,NON,,,,,,,,,,,,,,Michael Minns,,,,STOCKTON,,,,,,,"STOCKTON-ON-TEES , England -LRB- AP -RRB- _ Michael Minns received $160 , 000 from the father he never knew and thought was killed in World War II .",,PERSON,,,,
,,,,ORGGPE,,,,,,,,,,PROPN,1,,,,,,,,,,,,,,,,,,,,,,,,,appos,,,,2,,,,,,,,,,,,nmod,,0,,,,GPE,,,,70,,,,,,,,,,,,,,,,,,NON,,,,,,,,,,,,,,AP,,,,England,,,,,,1,"STOCKTON-ON-TEES , England -LRB- AP -RRB- _ Michael Minns received $160 , 000 from the father he never knew and thought was killed in World War II .",,ORG,,,,1
,,,,PERSONGPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nsubj,,,,,,,,,,,,,,,,nmod,,,,,,GPE,,,,70,,,,,,,,,,,,,,,,,,LIV,,,,,,,,,,,,,,Michael Minns,,,,England,,,,,,,"STOCKTON-ON-TEES , England -LRB- AP -RRB- _ Michael Minns received $160 , 000 from the father he never knew and thought was killed in World War II .",,PERSON,,,,
,,,,PERSONORG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nsubj,,,,,,,,,,,,,,,,appos,,,,,,ORG,,,,70,,,,,,,,,,,,,,,,,,WRK,,,,,,,,,,,,,,Michael Minns,,,,AP,,,,,,,"STOCKTON-ON-TEES , England -LRB- AP -RRB- _ Michael Minns received $160 , 000 from the father he never knew and thought was killed in World War II .",,PERSON,,,,
,,,,ORGGPE,,,,,,,,,,PROPN,2,,,,,,,,,,,,,,1,,,,1,,,,,,,pobj,,,,3,,,,,,,,,,,,pobj,,0,,,,GPE,,,,72,,,,,,,,,,,,,,,,,,NON,,,,,,,,1,,,,,,St. Nicholas Hospital,,,,Gosforth,,,,,,1,He said he only learned his father was a war-stress patient at St. Nicholas Hospital in Gosforth in northeast England after he died two years ago .,,ORG,,,,
,,,,ORGLOC,,,,,,,,,,PROPN,2,,,,,,,,,,,,,,1,,,,1,,,,,,,pobj,,,,3,,,,,,,,,,,,pobj,,0,,,,LOC,,,,72,,,,,,,,,,,,,,,,,,NON,,,,,,,,1,,,,,,St. Nicholas Hospital,,,,northeast England,,,,,,1,He said he only learned his father was a war-stress patient at St. Nicholas Hospital in Gosforth in northeast England after he died two years ago .,,ORG,,,,
,,,,DATEORG,1,,,,,,1,1,,AUX,3,,,,,,,,1,,1,,,,1,,,,1,,,,,,,advmod,,,,6,,,,,,,,,,,,pobj,,2,,,1,ORG,,,,72,,,,,,,,,,,,,,,,,,NON,,,,,,,,1,,,,,,two years ago,,,,St. Nicholas Hospital,,,,,,1,He said he only learned his father was a war-stress patient at St. Nicholas Hospital in Gosforth in northeast England after he died two years ago .,,DATE,,,,
,,,,PERSONNORP,,,,,,,,,,VERB,2,,,,,,,,,,,,,,,,,,,,,,,,,nsubj,,,,4,,1,,,,,,,,,,amod,,1,,,,NORP,,,1,77,,,,,,,,,,,,,,,,,,LIV,,,,,,1,1,,,,,1,,Nikita Khrushchev,,,,Soviet,1,,,,,,"An enraged Nikita Khrushchev instructed Soviet ships to ignore President Kennedy 's naval blockade during the Cuban missile crisis , but the order was reversed just hours before an inevitable confrontation , according to a new book .",,PERSON,,,,
,,,,PERSONPERSON,,,,,,,,,,VERB,3,,,,,,,,,,,,,,,,1,,,,,,,,,nsubj,,,,5,,,,,,,,,,,,poss,,1,,,1,PERSON,,,1,77,,,,,,,,,,,,,,,,,,NON,,,,,1,,1,,,,,,,Nikita Khrushchev,,,,Kennedy,1,,1,,,1,"An enraged Nikita Khrushchev instructed Soviet ships to ignore President Kennedy 's naval blockade during the Cuban missile crisis , but the order was reversed just hours before an inevitable confrontation , according to a new book .",,PERSON,,,,
,,,,PERSONPERSON,,,,,,1,,,1,VERB,1,,,,,,,,,,,,,,,,,1,,,,,,,,poss,1,,,5,,,,,,,,,,,,nsubj,1,3,,,,PERSON,,,1,77,,,,,,,,,,1,,,,,,,,NON,,,,,,,,,,,,,,Kennedy,,,,Nikita Khrushchev,,,,,,1,"An enraged Nikita Khrushchev instructed Soviet ships to ignore President Kennedy 's naval blockade during the Cuban missile crisis , but the order was reversed just hours before an inevitable confrontation , according to a new book .",,PERSON,,,,
,,,,PERSONNORP,,,,,,,,,,VERB,5,,,,,,,,,,,,,,1,,,,1,,,,,,,nsubj,,,,7,,1,,,,,,,,,,amod,,1,,,2,NORP,,,1,77,,,,,,,,,,,,,,,,,,NON,,,,,1,,1,1,,,,1,,Nikita Khrushchev,,,,Cuban,1,,1,,,,"An enraged Nikita Khrushchev instructed Soviet ships to ignore President Kennedy 's naval blockade during the Cuban missile crisis , but the order was reversed just hours before an inevitable confrontation , according to a new book .",,PERSON,,,,
,,,,PERSONNORP,,,,,,1,,,1,VERB,2,,,,,,,,,,,,,,,,,,,,,,,,,poss,1,,,6,,1,,,,,,,,,,amod,1,3,,,,NORP,,,1,77,,,,,,,,,,1,,,,,,,,NON,,,,,,1,,,,,,1,,Kennedy,,,,Soviet,1,,,,,,"An enraged Nikita Khrushchev instructed Soviet ships to ignore President Kennedy 's naval blockade during the Cuban missile crisis , but the order was reversed just hours before an inevitable confrontation , according to a new book .",,PERSON,,,,
,,,,PERSONNORP,,,,,,,,,,NOUN,3,,,,,,,,,,,,,,1,,,,1,,,,,,,poss,,,,5,,1,,,,,,,,,,amod,,1,,,1,NORP,,,1,77,,,,,,,,,,1,,,,,,,,NON,,,,,,,,1,,,,1,,Kennedy,,,,Cuban,,,,,,,"An enraged Nikita Khrushchev instructed Soviet ships to ignore President Kennedy 's naval blockade during the Cuban missile crisis , but the order was reversed just hours before an inevitable confrontation , according to a new book .",,PERSON,,,,
,,,,PERSONPERSON,,,1,,,,,,,PROPN,1,,,,,,,,,,,,,,,,,,,,,,,,,nsubj,,,,2,,,,,,,,,,,,conj,,0,,,,PERSON,,,,78,,,,,,,,,,,,,,,,,,NON,,,,,,,,,,,,,,James G. Blight,,,,David A. Welch,,,,,,1,"James G. Blight and David A. Welch of Harvard University 's John F. Kennedy School of Government say that ` ` if this order had held , war between the superpowers would probably have commenced at sea , shortly after 10 o 'clock on Wednesday morning , Oct. 24 , 1962 , several hundred miles off the coast of Cuba. ' '",,PERSON,,,,
,,,,PERSONPERSON,,,,,,,,,,PROPN,0,,,,,,,,,,,,,,,,,,,,,,,,,conj,,,,2,,,,,,,,,,,,nsubj,,1,,,,PERSON,,,1,78,,,,,,,,,,,,,,,,,,NON,,,1,,,,,,,,,,,David A. Welch,,,,James G. Blight,,,,,,,"James G. Blight and David A. Welch of Harvard University 's John F. Kennedy School of Government say that ` ` if this order had held , war between the superpowers would probably have commenced at sea , shortly after 10 o 'clock on Wednesday morning , Oct. 24 , 1962 , several hundred miles off the coast of Cuba. ' '",,PERSON,,,,
,,,,PERSONORG,,,1,,,,,,,PROPN,4,,,,,,,,,,,,,,1,,1,,1,,,,,,,nsubj,,,,5,,,,,,,,,,,,poss,,0,,,,ORG,,,,78,,,,,,,,,,,,,,,,,,WRK,,,,,,,,1,,,,,,James G. Blight,,,,Harvard University 's,,,,,,3,"James G. Blight and David A. Welch of Harvard University 's John F. Kennedy School of Government say that ` ` if this order had held , war between the superpowers would probably have commenced at sea , shortly after 10 o 'clock on Wednesday morning , Oct. 24 , 1962 , several hundred miles off the coast of Cuba. ' '",,PERSON,,,,
,,,,PERSONPERSON,,,1,,,,,,,PROPN,3,,,,,,,,,,,,,,1,,,,1,,,,,,,nsubj,,,,4,,,,,,,,,,,,pobj,,0,,,,PERSON,,,,78,,,,,,,,,,,,,,,,,,WRK,,,,,,,,1,,,,,,James G. Blight,,,,John F. Kennedy School of Government,,,,,,2,"James G. Blight and David A. Welch of Harvard University 's John F. Kennedy School of Government say that ` ` if this order had held , war between the superpowers would probably have commenced at sea , shortly after 10 o 'clock on Wednesday morning , Oct. 24 , 1962 , several hundred miles off the coast of Cuba. ' '",,PERSON,,,,
,,,,PERSONPERSON,,,,,,,,,,PROPN,0,,,,,,,,,,,,1,,,,,,,,,,,,,pobj,,,,4,,,,,,,,,,,,nsubj,,3,,,,PERSON,,,2,78,,,,,,,,,,,,1,,,,,,NON,,,1,,,,,,,1,,,,John F. Kennedy School of Government,,,,James G. Blight,,,,,,,"James G. Blight and David A. Welch of Harvard University 's John F. Kennedy School of Government say that ` ` if this order had held , war between the superpowers would probably have commenced at sea , shortly after 10 o 'clock on Wednesday morning , Oct. 24 , 1962 , several hundred miles off the coast of Cuba. ' '",,PERSON,,,,
,,,,PERSONGPE,,,,,,,,,,VERB,5,,,,,,,,,,,,,,2,,,,2,,,1,,,,nsubj,,,,7,,,,,,,,,,,,pobj,,1,,,1,GPE,,,1,78,,,1,,,,,,,,,,,,,,,NON,,,,,,,1,2,,,,,,James G. Blight,,,,Cuba,,,,,,1,"James G. Blight and David A. Welch of Harvard University 's John F. Kennedy School of Government say that ` ` if this order had held , war between the superpowers would probably have commenced at sea , shortly after 10 o 'clock on Wednesday morning , Oct. 24 , 1962 , several hundred miles off the coast of Cuba. ' '",,PERSON,,,,
,,,,PERSONORG,,,,,,,,,,PROPN,3,,,,,,,,,,,,,,1,,1,,1,,,,,,,conj,,,,4,,,,,,,,,,,,poss,,0,,,,ORG,,,,78,,,,,,,,,,,,,,,,,,WRK,,,,,,,,1,,,,,,David A. Welch,,,,Harvard University 's,,,,,,2,"James G. Blight and David A. Welch of Harvard University 's John F. Kennedy School of Government say that ` ` if this order had held , war between the superpowers would probably have commenced at sea , shortly after 10 o 'clock on Wednesday morning , Oct. 24 , 1962 , several hundred miles off the coast of Cuba. ' '",,PERSON,,,,
,,,,PERSONPERSON,,,,,,,,,,PROPN,2,,,,,,,,,,,,,,1,,,,1,,,,,,,conj,,,,3,,,,,,,,,,,,pobj,,0,,,,PERSON,,,,78,,,,,,,,,,,,,,,,,,WRK,,,,,,,,1,,,,,,David A. Welch,,,,John F. Kennedy School of Government,,,,,,1,"James G. Blight and David A. Welch of Harvard University 's John F. Kennedy School of Government say that ` ` if this order had held , war between the superpowers would probably have commenced at sea , shortly after 10 o 'clock on Wednesday morning , Oct. 24 , 1962 , several hundred miles off the coast of Cuba. ' '",,PERSON,,,,
,,,,PERSONPERSON,,,,,,,,,,PROPN,0,,,,,,,,,,,,1,,,,,,,,,,,,,pobj,,,,3,,,,,,,,,,,,conj,,2,,,,PERSON,,,1,78,,,,,,,,,,,,1,,,,,,NON,,,,,,,,,,1,,,,John F. Kennedy School of Government,,,,David A. Welch,,,,,,,"James G. Blight and David A. Welch of Harvard University 's John F. Kennedy School of Government say that ` ` if this order had held , war between the superpowers would probably have commenced at sea , shortly after 10 o 'clock on Wednesday morning , Oct. 24 , 1962 , several hundred miles off the coast of Cuba. ' '",,PERSON,,,,
,,,,PERSONGPE,,,,,,,,,,VERB,5,,,,,,,,,,,,,,2,,,,2,,,1,,,,conj,,,,8,,,,,,,,,,,,pobj,,2,,,1,GPE,,,2,78,,,1,,,,,,,,,,,,,,,NON,,,1,,,,1,2,,,,,,David A. Welch,,,,Cuba,,,,,,1,"James G. Blight and David A. Welch of Harvard University 's John F. Kennedy School of Government say that ` ` if this order had held , war between the superpowers would probably have commenced at sea , shortly after 10 o 'clock on Wednesday morning , Oct. 24 , 1962 , several hundred miles off the coast of Cuba. ' '",,PERSON,,,,
,,,,PERSONORG,,,,,,,,,,PROPN,1,,,,,,,,,,,,,,,,1,,,,,,,,,pobj,,,,2,,,,,,,,,,,,poss,,0,,,,ORG,,,,78,,,,,,,,,,,,,,,,,,NON,,,,,,,,,,,,,,John F. Kennedy School of Government,,,,Harvard University 's,,,,,,1,"James G. Blight and David A. Welch of Harvard University 's John F. Kennedy School of Government say that ` ` if this order had held , war between the superpowers would probably have commenced at sea , shortly after 10 o 'clock on Wednesday morning , Oct. 24 , 1962 , several hundred miles off the coast of Cuba. ' '",,PERSON,,,,
,,,,DATEORG,,1,1,,,,,,2,VERB,5,,,,,,,,,,,,2,1,1,,1,1,1,,,,,,,appos,,,,12,1,,,,,,,,,,,poss,,6,,,,ORG,,,1,78,,,,,,,,,,,,2,,,,,,NON,,,,,,,,1,,2,,,,"Oct. 24 , 1962",,,,Harvard University 's,,,,,,4,"James G. Blight and David A. Welch of Harvard University 's John F. Kennedy School of Government say that ` ` if this order had held , war between the superpowers would probably have commenced at sea , shortly after 10 o 'clock on Wednesday morning , Oct. 24 , 1962 , several hundred miles off the coast of Cuba. ' '",,DATE,,,,
,,,,ORGGPE,,,,,,,,,,VERB,5,,,,,,,,,,,,1,,2,,,,2,,,1,,,,poss,,,,11,,,,,,,,,,,,pobj,,5,,,1,GPE,,,4,78,,,1,,,,,,,1,,1,,,,,,NON,,,1,,,,1,2,,1,,,,Harvard University 's,,,,Cuba,,,,,,1,"James G. Blight and David A. Welch of Harvard University 's John F. Kennedy School of Government say that ` ` if this order had held , war between the superpowers would probably have commenced at sea , shortly after 10 o 'clock on Wednesday morning , Oct. 24 , 1962 , several hundred miles off the coast of Cuba. ' '",,ORG,,,,
,,,,PERSONGPE,,,,,,,,,,VERB,5,,,,,,,,,,,,1,,2,,,,2,,,1,,,,pobj,,,,10,,,,,,,,,,,,pobj,,4,,,1,GPE,,,3,78,,,1,,,,,,,,,1,,,,,,NON,,,1,,,,1,2,,1,,,,John F. Kennedy School of Government,,,,Cuba,,,,,,1,"James G. Blight and David A. Welch of Harvard University 's John F. Kennedy School of Government say that ` ` if this order had held , war between the superpowers would probably have commenced at sea , shortly after 10 o 'clock on Wednesday morning , Oct. 24 , 1962 , several hundred miles off the coast of Cuba. ' '",,PERSON,,,,
,,,,ORGNORP,,,,,,,,,,PROPN,2,,,,,,,,,,,,,,,,,,,,,,,,,nsubj,,,,3,,1,,,,,,,,,,nmod,,0,,,1,NORP,,,,79,,,,,,,,,,,,,,,,,,LIV,,,,,,,,,,,,,1,Anastas Mikoyan,,,,Soviet,,,,,,,"Anastas Mikoyan , then Soviet first deputy premier , was the catalyst for the reversal of Khrushchev 's order , according to the authors .",,ORG,,,,1
,,,,PERSONORG,,,,,,,,,3,AUX,1,,,,,,,,,,,,2,,,,,1,,,,,,,,poss,,,,8,,,,,,,,,,,,nsubj,,6,,,,ORG,,,1,79,,,,,,,,,,1,,2,,,,,,NON,,1,,,,,,,,2,,,,Khrushchev,,,,Anastas Mikoyan,,,,,,1,"Anastas Mikoyan , then Soviet first deputy premier , was the catalyst for the reversal of Khrushchev 's order , according to the authors .",,PERSON,,,,
,,,,PERSONNORP,,,,,,,,,3,AUX,3,,,,,,,,,,,,2,,,,,1,,,,,,,,poss,,,,10,,1,,,,,,,,,,nmod,,6,,,1,NORP,,,1,79,,,,,,,,,,1,,2,,,,,,LIV,,1,,,,,,,,2,,,1,Khrushchev,,,,Soviet,,,,,,1,"Anastas Mikoyan , then Soviet first deputy premier , was the catalyst for the reversal of Khrushchev 's order , according to the authors .",,PERSON,,,,1
,,,,PERSONORG,,,,,,1,,,1,VERB,1,,,,,,,,,,,,,,,,,1,,,,,,,,poss,,,,4,,,,,,,,,,,,nsubj,,2,,,,ORG,,,1,80,,,,,,,,,,1,,,,,,,,NON,,,,,,,,,,,,,,Khrushchev,,,,Mikoyan,,,,,,1,"Mikoyan ` ` preempted Khrushchev 's order to run the blockade and ordered Soviet ships to stop just short of the quarantine line , ' ' they say .",,PERSON,,,,
,,,,ORGNORP,,,1,,,,,,,VERB,3,,,,,,,,,,,,,,,,,,,,,,,,,nsubj,,,,5,,1,,,,,,,,,,amod,,1,,,,NORP,,,1,80,,,1,,,,,,,,,,,,,,,LIV,,,,,,1,1,,,,,1,,Mikoyan,,,,Soviet,1,,,,,,"Mikoyan ` ` preempted Khrushchev 's order to run the blockade and ordered Soviet ships to stop just short of the quarantine line , ' ' they say .",,ORG,,,,
,,,,PERSONNORP,,,1,,,1,,,1,VERB,3,,,,,,,,,,,,,,,,,,,,,,,,,poss,,,,6,,1,,,,,,,,,,amod,,2,,,,NORP,,,1,80,,,1,,,,,,,1,,,,,,,,LIV,,,,,,1,,,,,,1,,Khrushchev,,,,Soviet,1,,,,,,"Mikoyan ` ` preempted Khrushchev 's order to run the blockade and ordered Soviet ships to stop just short of the quarantine line , ' ' they say .",,PERSON,,,,
,,,,WORK_OF_ARTORG,,,,1,1,,,,1,VERB,6,,,,,,,,,,,,,,2,,,,1,,1,,,,,punct,,,,9,,,,,,,,,,,,compound,,2,,,1,ORG,,,,83,,,1,,,,,,1,,,,,,,,,NON,,,,,,1,,2,,,,,,` ` On the Brink : Americans and Soviets Reexamine the Cuban Missile Crisis,,,,Harvard,,,,,,1,"The book , ` ` On the Brink : Americans and Soviets Reexamine the Cuban Missile Crisis , ' ' is based largely on two 1987 conferences sponsored by Harvard _ one that featured top Kennedy advisers and U.S. scholars and a second in which three Soviets joined the Americans .",1,WORK_OF_ART,,1,,
,,,,DATEORG,,,,,,,,,,NOUN,4,,,,,,,,,,,,,,1,,,,,,,,,,,nummod,,,,6,,,,,,,,,,,,compound,,1,,,1,ORG,,,,83,,,1,,,,,,1,,,,,,1,,,NON,,,,,,,,1,,,,,,two 1987,,,1,Harvard,,,,,,1,"The book , ` ` On the Brink : Americans and Soviets Reexamine the Cuban Missile Crisis , ' ' is based largely on two 1987 conferences sponsored by Harvard _ one that featured top Kennedy advisers and U.S. scholars and a second in which three Soviets joined the Americans .",1,DATE,,1,,
,,,,PERSONORG,,,,,,1,,,,NOUN,1,,,,,,,,,,1,,,,,,,,,,,,,,,compound,,,,5,,,,,,,,,,,,compound,,3,,,,ORG,,,1,83,,,,,,,,1,1,,,,,1,,,,NON,,,,,,,,,,,,,,Kennedy,,,,Harvard,,,,1,,1,"The book , ` ` On the Brink : Americans and Soviets Reexamine the Cuban Missile Crisis , ' ' is based largely on two 1987 conferences sponsored by Harvard _ one that featured top Kennedy advisers and U.S. scholars and a second in which three Soviets joined the Americans .",,PERSON,,,,
,,,,ORGGPE,,,1,,,,,,,NOUN,4,,,,,,,,,,,,,,,,,,,1,,,,,,compound,,,,6,,,,,,,,,,,,compound,,1,,,,GPE,,,1,83,,,,,,,,,1,,,,,,,,,NON,,,,,,2,,,,,,,,Harvard,,1,,U.S.,1,,,1,,1,"The book , ` ` On the Brink : Americans and Soviets Reexamine the Cuban Missile Crisis , ' ' is based largely on two 1987 conferences sponsored by Harvard _ one that featured top Kennedy advisers and U.S. scholars and a second in which three Soviets joined the Americans .",,ORG,,,,
,,,,ORGNORP,,,1,,,,,,1,NOUN,3,,,1,,,,,,,,,1,1,,,,1,,1,,,,,,compound,,,,8,,1,,,,,,,,,1,nsubj,,4,,,,NORP,,,1,83,,,,,,,,,,,,1,1,,,,,NON,,,,,,,,,,,,,,Harvard,,1,,Soviets,,,,1,,,"The book , ` ` On the Brink : Americans and Soviets Reexamine the Cuban Missile Crisis , ' ' is based largely on two 1987 conferences sponsored by Harvard _ one that featured top Kennedy advisers and U.S. scholars and a second in which three Soviets joined the Americans .",,ORG,,,,
,,,,ORGNORP,,,1,,,,,,1,NOUN,3,,,1,,,,,,,,,1,1,,,,,,1,,,,,,compound,,,,8,,1,,,,,,,,,1,dobj,,4,,,,NORP,,,1,83,,,,,,,,,,,,1,1,,,,,NON,,,,,,,,,,,,,,Harvard,,1,,Americans,1,,,1,,,"The book , ` ` On the Brink : Americans and Soviets Reexamine the Cuban Missile Crisis , ' ' is based largely on two 1987 conferences sponsored by Harvard _ one that featured top Kennedy advisers and U.S. scholars and a second in which three Soviets joined the Americans .",,ORG,,,,
,,,,PERSONGPE,,,1,,,,,,,NOUN,2,,,,,,,,,,,,,,,,,,,,,,,,,compound,,,,4,,,,,,,,,,,,compound,,1,,,,GPE,,,1,83,,,,,,,,,1,,,,,,,,,LIV,,,,,,1,,,,,,,,Kennedy,,,,U.S.,,,,1,,1,"The book , ` ` On the Brink : Americans and Soviets Reexamine the Cuban Missile Crisis , ' ' is based largely on two 1987 conferences sponsored by Harvard _ one that featured top Kennedy advisers and U.S. scholars and a second in which three Soviets joined the Americans .",,PERSON,,,,
,,,,PERSONNORP,,,1,,,1,,,1,NOUN,3,,,1,,,,,,,1,,1,1,,,,1,,1,,,,,,compound,,,,10,,1,,,,,,,,,1,nsubj,,6,,,,NORP,,,1,83,,,,,,,,1,,,,1,1,1,,,,NON,,,,,,,,,,,,,,Kennedy,,1,,Soviets,,,,1,,,"The book , ` ` On the Brink : Americans and Soviets Reexamine the Cuban Missile Crisis , ' ' is based largely on two 1987 conferences sponsored by Harvard _ one that featured top Kennedy advisers and U.S. scholars and a second in which three Soviets joined the Americans .",,PERSON,,,,
,,,,PERSONNORP,,,1,,,1,,,1,NOUN,3,,,1,,,,,,,1,,1,1,,,,,,1,,,,,,compound,,,,10,,1,,,,,,,,,1,dobj,,6,,,,NORP,,,1,83,,,,,,,,1,,,,1,1,1,,,,NON,,,,,,,,,,,,,,Kennedy,,1,,Americans,1,,,1,,,"The book , ` ` On the Brink : Americans and Soviets Reexamine the Cuban Missile Crisis , ' ' is based largely on two 1987 conferences sponsored by Harvard _ one that featured top Kennedy advisers and U.S. scholars and a second in which three Soviets joined the Americans .",,PERSON,,,,
,,,,GPENORP,,,1,,,1,,,1,NOUN,3,,,1,,,,,,,1,,1,1,,,,1,,1,,,,,,compound,,,,11,,1,,,,,,,,,1,nsubj,,7,,,,NORP,,,1,83,,,,,,,,1,,,,1,1,2,,,,NON,,,1,,,,,,,,,,,U.S.,,1,,Soviets,,,,1,,,"The book , ` ` On the Brink : Americans and Soviets Reexamine the Cuban Missile Crisis , ' ' is based largely on two 1987 conferences sponsored by Harvard _ one that featured top Kennedy advisers and U.S. scholars and a second in which three Soviets joined the Americans .",,GPE,,,,
,,,,GPENORP,,,1,,,1,,,1,NOUN,3,,,1,,,,,,,1,,1,1,,,,,,1,,,,,,compound,,,,11,,1,,,,,,,,,1,dobj,,7,,,,NORP,,,1,83,,,,,,,,1,,,,1,1,2,,,,NON,,,1,,,,,,,,,,,U.S.,,1,,Americans,1,,,1,,,"The book , ` ` On the Brink : Americans and Soviets Reexamine the Cuban Missile Crisis , ' ' is based largely on two 1987 conferences sponsored by Harvard _ one that featured top Kennedy advisers and U.S. scholars and a second in which three Soviets joined the Americans .",,GPE,,,,
