dep-left-xcomp-deps,dep-right-vbp-tags,dep-left-md-tags,dep-right-jjs-tags,dep-left-conj-deps,ent2,dep-right-vb-tags,dep-left-vb-tags,dep-left-dep-deps,dep-left-relcl-deps,dep-left-cd-tags,ent1-type,dep-left-det-deps,dep-right-vbz-tags,dep-left-vbd-tags,dep-left-parataxis-deps,label,dep-right-punct-deps,dep-left-npadvmod-deps,dep-left-compound-deps,dep-right-agent-deps,dep-right-intj-deps,dep-left-pobj-deps,dep-dist,head-tag,dep-left-dist,dep-left-vbg-tags,ent1-dep,dep-right-rb-tags,dep-left-nsubjpass-deps,dep-left-``-tags,dep-right-appos-deps,dep-right-npadvmod-deps,dep-right-oprd-deps,dep-right-xcomp-deps,dep-right-nns-tags,dep-right-''-tags,dep-right-vbg-tags,dep-right-nmod-deps,dep-right-nnp-tags,dep-left-dt-tags,dep-right-det-deps,dep-left-acl-deps,dep-right-prep-deps,dep-right-conj-deps,dep-left-vbn-tags,dep-right-nsubjpass-deps,dep-right-poss-deps,dep-right-advmod-deps,dep-right-advcl-deps,dep-left-jjs-tags,dep-left-poss-deps,dep-left-nnps-tags,dep-left-pcomp-deps,dep-right-md-tags,dep-left-nnp-tags,dep-right-cd-tags,dep-right-dt-tags,sent,dep-right-in-tags,dep-left-attr-deps,dep-left-advcl-deps,dep-left-jj-tags,dep-left-amod-deps,dep-left-nsubj-deps,dep-right-acomp-deps,ent2-type,dep-left-:-tags,dep-right-ccomp-deps,dep-right-dep-deps,dep-left-vbz-tags,dep-left-prp-tags,dep-right-attr-deps,dep-right-jj-tags,dep-right-nn-tags,dep-right-vbd-tags,dep-left-dative-deps,concatenated-types,dep-left-csubj-deps,dep-left-rb-tags,dep-left-acomp-deps,"dep-left-,-tags",dep-right-dobj-deps,dep-left-dobj-deps,dep-left-intj-deps,dep-left-appos-deps,dep-right-nummod-deps,dep-right-relcl-deps,dep-right-nnps-tags,dep-right-pobj-deps,dep-left-ccomp-deps,dep-left-vbp-tags,ent1,dep-left-in-tags,"dep-right-,-tags",dep-left-jjr-tags,dep-left-prep-deps,dep-right-vbn-tags,dep-right-:-tags,dep-right-parataxis-deps,ent2-dep,dep-left-agent-deps,dep-right-dist,dep-right-csubj-deps,dep-right-``-tags,dep-right-nsubj-deps,dep-left-oprd-deps,dep-left-advmod-deps,dep-right-pcomp-deps,dep-left-nmod-deps,id,dep-left-nn-tags,dep-left-nns-tags,dep-right-compound-deps,dep-right-acl-deps,dep-left-punct-deps 
,,,,,Livingston,,,,,,GPE,,,,,NON,,,,,,,2,PROPN,0,,appos,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,"Penry raped Pamela Moseley Carpenter on Oct. 15 , 1979 , in Livingston , Texas , then stabbed her to death .",,,,,,,,GPE,,,,,,,,,,,GPEGPE,,,,,,,,,,,,,,,Texas,,,,,,,,pobj,,1,,,,,,,,210,,,,,
,,,,,National Football League,,,,,,PERSON,,,,,NON,,,1,,,,4,NOUN,2,,poss,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,2,,,"Ms. Carpenter 's brother , retired National Football League placekicker Mark Moseley , was in the courtroom Wednesday and told reporters afterward , ` ` It 's been nine years of hell for myself and my family. ' '",,,,,,,,ORG,,,,,,,,,,,PERSONORG,,,,,,,,1,,,,,,,Carpenter,,,,,,,,compound,,1,,,,,,,,212,,,,,
,,,,,Mark Moseley,,,,,,PERSON,,,,,NON,,,,,,,3,NOUN,1,,poss,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,"Ms. Carpenter 's brother , retired National Football League placekicker Mark Moseley , was in the courtroom Wednesday and told reporters afterward , ` ` It 's been nine years of hell for myself and my family. ' '",,,,,,,,PERSON,,,,,,,,,,,PERSONPERSON,,,,,,,,1,,,,,,,Carpenter,,,,,,,,appos,,1,,,,,,,,212,,,,,
,,,,,Carpenter,,,,,,PERSON,,,,,NON,,,,,,,3,NOUN,1,,appos,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,"Ms. Carpenter 's brother , retired National Football League placekicker Mark Moseley , was in the courtroom Wednesday and told reporters afterward , ` ` It 's been nine years of hell for myself and my family. ' '",,,,,,,,PERSON,,,,,,,,,,,PERSONPERSON,,,,,,,,,,,,,,,Mark Moseley,,,,,,,,poss,,1,,,,,,,,212,,,,,
,,,,,National Football League,,,,,,PERSON,,,,,WRK,,,1,,,,2,PROPN,1,,appos,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Ms. Carpenter 's brother , retired National Football League placekicker Mark Moseley , was in the courtroom Wednesday and told reporters afterward , ` ` It 's been nine years of hell for myself and my family. ' '",,,,,,,,ORG,,,,,,,,,,,PERSONORG,,,,,,,,,,,,,,,Mark Moseley,,,,,,,,compound,,0,,,,,,,,212,,,,,
,,,,,National Football League,,,,,,DATE,,,,,NON,,,1,,,,5,AUX,3,,npadvmod,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,2,,,"Ms. Carpenter 's brother , retired National Football League placekicker Mark Moseley , was in the courtroom Wednesday and told reporters afterward , ` ` It 's been nine years of hell for myself and my family. ' '",,,,,,1,,ORG,,,,,,,,,,,DATEORG,,,,,,,,1,,,,,,,Wednesday,,,,,,,,compound,,1,,,,,,,,212,1,,,,
,,,,,National Football League,,,,,,DATE,,,,,NON,,,1,,,,7,AUX,3,,attr,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,2,,,"Ms. Carpenter 's brother , retired National Football League placekicker Mark Moseley , was in the courtroom Wednesday and told reporters afterward , ` ` It 's been nine years of hell for myself and my family. ' '",,,,,,1,,ORG,,1,,,,1,,,1,,DATEORG,,,,,,,,1,,,,,,,nine years,,,,,1,,,compound,,3,,,,,,,,212,1,,,,
,,,,,Britain,,,,,,GPE,,,,,NON,,,,,,,2,PROPN,1,,nsubj,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"The United States , Britain and France joined in vetoing a Security Council resolution that ` ` deplored ' ' the U.S. Navy 's downing of two Libyan military jets over the Mediterranean on Jan. 4 .",,,,,,,,GPE,,,,,,,,,,,GPEGPE,,,,,,,,1,,,,,,,The United States,,,,,,,,appos,,0,,,,,,,,268,,,,,
,,,,,The United States,,,,,,GPE,,,,,NON,,,,,,,2,PROPN,0,,appos,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,"The United States , Britain and France joined in vetoing a Security Council resolution that ` ` deplored ' ' the U.S. Navy 's downing of two Libyan military jets over the Mediterranean on Jan. 4 .",,,,,,,,GPE,,,,,,,,,,,GPEGPE,,,,,,,,,,,,,,,Britain,,,,,,,,nsubj,,1,,,,,,,,268,,,,,
,,,,1,France,,,,,,GPE,,,,,NON,,,,,,,3,PROPN,2,,nsubj,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,"The United States , Britain and France joined in vetoing a Security Council resolution that ` ` deplored ' ' the U.S. Navy 's downing of two Libyan military jets over the Mediterranean on Jan. 4 .",,,,,,,,GPE,,,,,,,,,,,GPEGPE,,,,,,,,1,,,,,,,The United States,,,,,,,,conj,,0,,,,,,,,268,,,,,
,,,,,The United States,,,,,,GPE,,,,,NON,,,,,,,3,PROPN,0,,conj,,,,1,,,,,,,,2,,,,,1,,,,,,,,,,,,,,"The United States , Britain and France joined in vetoing a Security Council resolution that ` ` deplored ' ' the U.S. Navy 's downing of two Libyan military jets over the Mediterranean on Jan. 4 .",,,,,,,,GPE,,,,,,,,,,,GPEGPE,,,,,,,,,,,,,,,France,,,,,,,,nsubj,,2,,,,,,,,268,,,,,
,,,,,The United States,,,,,,ORG,,,,,NON,,,,,,,6,VERB,1,,compound,,,,,,,,,,1,,1,,,,1,,,,,,,,,,,,1,,,"The United States , Britain and France joined in vetoing a Security Council resolution that ` ` deplored ' ' the U.S. Navy 's downing of two Libyan military jets over the Mediterranean on Jan. 4 .",1,,,,,1,,GPE,,,,,,,,1,,,ORGGPE,,,,,1,,,,,,,,,,Security Council,,,,,,,,nsubj,,4,,,,,,1,,268,,,1,,
,,,,,The United States,,,,,,ORG,,,,,NON,,,,,,,,,,,poss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The United States , Britain and France joined in vetoing a Security Council resolution that ` ` deplored ' ' the U.S. Navy 's downing of two Libyan military jets over the Mediterranean on Jan. 4 .",,,,,,,,GPE,,,,,,,,,,,ORGGPE,,,,,,,,,,,,,,,the U.S. Navy 's,,,,,,,,nsubj,,,,,,,,,,268,,,,,
,,,,,Libyan,,,,,,GPE,,,,,NON,,,,,,,,,,,nsubj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The United States , Britain and France joined in vetoing a Security Council resolution that ` ` deplored ' ' the U.S. Navy 's downing of two Libyan military jets over the Mediterranean on Jan. 4 .",,,,,,,,NORP,,,,,,,,,,,GPENORP,,,,,,,,,,,,,,,The United States,,,,,,,,amod,,,,,,,,,,268,,,,,
,,,,1,France,,,,,,GPE,,,,,NON,,,,,,,2,PROPN,1,,appos,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"The United States , Britain and France joined in vetoing a Security Council resolution that ` ` deplored ' ' the U.S. Navy 's downing of two Libyan military jets over the Mediterranean on Jan. 4 .",,,,,,,,GPE,,,,,,,,,,,GPEGPE,,,,,,,,,,,,,,,Britain,,,,,,,,conj,,0,,,,,,,,268,,,,,
,,,,,Britain,,,,,,GPE,,,,,NON,,,,,,,2,PROPN,0,,conj,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,"The United States , Britain and France joined in vetoing a Security Council resolution that ` ` deplored ' ' the U.S. Navy 's downing of two Libyan military jets over the Mediterranean on Jan. 4 .",,,,,,,,GPE,,,,,,,,,,,GPEGPE,,,,,,,,,,,,,,,France,,,,,,,,appos,,1,,,,,,,,268,,,,,
,,,,,Britain,,,,,,ORG,,,,,NON,,,,,,,7,VERB,2,,compound,,,,,,,,,,1,,1,,,,1,,,,,,,,,,,,2,,,"The United States , Britain and France joined in vetoing a Security Council resolution that ` ` deplored ' ' the U.S. Navy 's downing of two Libyan military jets over the Mediterranean on Jan. 4 .",1,,,,,1,,GPE,,,,,,,,1,,,ORGGPE,,,,,1,,,1,,,,,,,Security Council,,,,,,,,appos,,4,,,,,,1,,268,,,1,,
,,,,,Britain,,,,,,ORG,,,,,NON,,,,,,,,,,,poss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The United States , Britain and France joined in vetoing a Security Council resolution that ` ` deplored ' ' the U.S. Navy 's downing of two Libyan military jets over the Mediterranean on Jan. 4 .",,,,,,,,GPE,,,,,,,,,,,ORGGPE,,,,,,,,,,,,,,,the U.S. Navy 's,,,,,,,,appos,,,,,,,,,,268,,,,,
,,,,,Libyan,,,,,,GPE,,,,,NON,,,,,,,,,,,appos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The United States , Britain and France joined in vetoing a Security Council resolution that ` ` deplored ' ' the U.S. Navy 's downing of two Libyan military jets over the Mediterranean on Jan. 4 .",,,,,,,,NORP,,,,,,,,,,,GPENORP,,,,,,,,,,,,,,,Britain,,,,,,,,amod,,,,,,,,,,268,,,,,
,,,,1,France,,,,,,ORG,,,,,NON,,,,,,,8,VERB,3,,compound,,,,,,,,,,1,,1,,,,1,,,,,,,,,,,,3,,,"The United States , Britain and France joined in vetoing a Security Council resolution that ` ` deplored ' ' the U.S. Navy 's downing of two Libyan military jets over the Mediterranean on Jan. 4 .",1,,,,,1,,GPE,,,,,,,,1,,,ORGGPE,,,,,1,,,1,,,,,,,Security Council,,,,,,,,conj,,4,,,,,,1,,268,,,1,,
,,,,,France,,,,,,ORG,,,,,NON,,,,,,,,,,,poss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The United States , Britain and France joined in vetoing a Security Council resolution that ` ` deplored ' ' the U.S. Navy 's downing of two Libyan military jets over the Mediterranean on Jan. 4 .",,,,,,,,GPE,,,,,,,,,,,ORGGPE,,,,,,,,,,,,,,,the U.S. Navy 's,,,,,,,,conj,,,,,,,,,,268,,,,,
,,,,,Libyan,,,,,,GPE,,,,,NON,,,,,,,,,,,conj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The United States , Britain and France joined in vetoing a Security Council resolution that ` ` deplored ' ' the U.S. Navy 's downing of two Libyan military jets over the Mediterranean on Jan. 4 .",,,,,,,,NORP,,,,,,,,,,,GPENORP,,,,,,,,,,,,,,,France,,,,,,,,amod,,,,,,,,,,268,,,,,
,,,,,the U.S. Navy 's,,,,,,ORG,,,,,NON,,,,,,,,,,,compound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The United States , Britain and France joined in vetoing a Security Council resolution that ` ` deplored ' ' the U.S. Navy 's downing of two Libyan military jets over the Mediterranean on Jan. 4 .",,,,,,,,ORG,,,,,,,,,,,ORGORG,,,,,,,,,,,,,,,Security Council,,,,,,,,poss,,,,,,,,,,268,,,,,
,,,,,Security Council,,,,,,ORG,,,,,NON,,,,,,,,,,,poss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The United States , Britain and France joined in vetoing a Security Council resolution that ` ` deplored ' ' the U.S. Navy 's downing of two Libyan military jets over the Mediterranean on Jan. 4 .",,,,,,,,ORG,,,,,,,,,,,ORGORG,,,,,,,,,,,,,,,the U.S. Navy 's,,,,,,,,compound,,,,,,,,,,268,,,,,
,,,,,Libyan,,,,,,ORG,,,,,NON,,,,,,,,,,,compound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The United States , Britain and France joined in vetoing a Security Council resolution that ` ` deplored ' ' the U.S. Navy 's downing of two Libyan military jets over the Mediterranean on Jan. 4 .",,,,,,,,NORP,,,,,,,,,,,ORGNORP,,,,,,,,,,,,,,,Security Council,,,,,,,,amod,,,,,,,,,,268,,,,,
,,,,,Mediterranean,,,,,,ORG,,,,,NON,,,,,,,,,,,compound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The United States , Britain and France joined in vetoing a Security Council resolution that ` ` deplored ' ' the U.S. Navy 's downing of two Libyan military jets over the Mediterranean on Jan. 4 .",,,,,,,,LOC,,,,,,,,,,,ORGLOC,,,,,,,,,,,,,,,Security Council,,,,,,,,pobj,,,,,,,,,,268,,,,,
,,,,,Security Council,,,,,,DATE,,,,,NON,,,,,,,,,,,pobj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The United States , Britain and France joined in vetoing a Security Council resolution that ` ` deplored ' ' the U.S. Navy 's downing of two Libyan military jets over the Mediterranean on Jan. 4 .",,,,,,,,ORG,,,,,,,,,,,DATEORG,,,,,,,,,,,,,,,Jan. 4,,,,,,,,compound,,,,,,,,,,268,,,,,
,,,,,Libyan,,,,,,ORG,,,,,NON,,,,,,1,5,NOUN,3,,poss,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,"The United States , Britain and France joined in vetoing a Security Council resolution that ` ` deplored ' ' the U.S. Navy 's downing of two Libyan military jets over the Mediterranean on Jan. 4 .",,,,1,1,,,NORP,,,,,,,,,,,ORGNORP,,,,,,,,,,,,,,,the U.S. Navy 's,1,,,1,,,,amod,,1,,,,,,,,268,,1,,,
,,,,,Mediterranean,,,,,,ORG,,,,,NON,,,,,,1,4,NOUN,2,,poss,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,"The United States , Britain and France joined in vetoing a Security Council resolution that ` ` deplored ' ' the U.S. Navy 's downing of two Libyan military jets over the Mediterranean on Jan. 4 .",,,,,,,,LOC,,,,,,,,,,,ORGLOC,,,,,,,,,,,,,,,the U.S. Navy 's,1,,,1,,,,pobj,,1,,,,,,,,268,,,,,
,,,,,the U.S. Navy 's,,,,,,DATE,,,,,NON,,,,,,,4,NOUN,1,,pobj,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,1,,,"The United States , Britain and France joined in vetoing a Security Council resolution that ` ` deplored ' ' the U.S. Navy 's downing of two Libyan military jets over the Mediterranean on Jan. 4 .",1,,,,,,,ORG,,,,,,,,,,,DATEORG,,,,,,,,,,,,1,,,Jan. 4,,,,,,,,poss,,2,,,,,,,,268,,,,,
,,,,,Security Council,,,,,,ORG,,,,,NON,,,1,,,1,5,VERB,3,,nsubj,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,Treiki disclosed the planned missile tests during Security Council debate Tuesday night after the U.S. 6th Fleet informed Libyan air traffic controllers so they could divert civilian air traffic .,,,,,,,,ORG,,,,,,,,,,,ORGORG,,,,,,,,,,,,,,,Treiki,1,,,1,,,,compound,,1,,,1,,,,,276,1,,,,
,,,,,Treiki,,,,,,ORG,,,,,NON,,,,,,,5,VERB,1,,compound,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,Treiki disclosed the planned missile tests during Security Council debate Tuesday night after the U.S. 6th Fleet informed Libyan air traffic controllers so they could divert civilian air traffic .,1,,,,,1,,ORG,,,,,,,,1,,,ORGORG,,,,,,,,,,,,1,,,Security Council,,,,,,,,nsubj,,3,,,,,,,,276,,,1,,
,,,,,Treiki,,,,,,DATE,,,,,NON,,,,,,,4,VERB,1,,compound,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,1,,,Treiki disclosed the planned missile tests during Security Council debate Tuesday night after the U.S. 6th Fleet informed Libyan air traffic controllers so they could divert civilian air traffic .,,,,,,1,,ORG,,,,,,,,1,,,DATEORG,,,,,,,,,,,,,,,Tuesday,,,,,,,,nsubj,,2,,,,,,,,276,,,1,,
,,,,,the U.S. 6th Fleet,,,,,,ORG,,,1,,NON,,,,,,,4,VERB,2,,nsubj,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,Treiki disclosed the planned missile tests during Security Council debate Tuesday night after the U.S. 6th Fleet informed Libyan air traffic controllers so they could divert civilian air traffic .,,,1,,,1,,ORG,,,,,,,,,,,ORGORG,,,,,,,,,,,,,,,Treiki,,,,,,,,nsubj,,1,,,1,,,,,276,,,,,
,,,,,Treiki,,,,,,ORG,,,,,NON,,,,,,,4,VERB,1,,nsubj,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,1,,,Treiki disclosed the planned missile tests during Security Council debate Tuesday night after the U.S. 6th Fleet informed Libyan air traffic controllers so they could divert civilian air traffic .,,,,,,1,,ORG,,,,,,,,,1,,ORGORG,,,,,,,,,,,,,,,the U.S. 6th Fleet,,,,,,,,nsubj,,2,,,1,,,,,276,,,,,
,,,,,Libyan,,,,,,ORG,,,1,,NON,,,,,,,5,VERB,3,,nsubj,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,Treiki disclosed the planned missile tests during Security Council debate Tuesday night after the U.S. 6th Fleet informed Libyan air traffic controllers so they could divert civilian air traffic .,,,1,1,1,,,NORP,,,,,,,,,,,ORGNORP,,,,,,1,,,,,,,,,Treiki,,,,,,,,amod,,1,,,1,,,,,276,,1,,,
,,,,,Security Council,,,,,,DATE,,,,,NON,,,1,,,1,6,VERB,3,,compound,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,1,,,Treiki disclosed the planned missile tests during Security Council debate Tuesday night after the U.S. 6th Fleet informed Libyan air traffic controllers so they could divert civilian air traffic .,,,,,,,,ORG,,,,,,,,1,,,DATEORG,,,,,,,,,,,,,,,Tuesday,1,,,1,,,,compound,,2,,,,,,,,276,1,,1,,
,,,,,the U.S. 6th Fleet,,,,,,ORG,,,1,,NON,,,,,,,6,VERB,2,,compound,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,Treiki disclosed the planned missile tests during Security Council debate Tuesday night after the U.S. 6th Fleet informed Libyan air traffic controllers so they could divert civilian air traffic .,1,,1,,,1,,ORG,,,,,,,,1,,,ORGORG,,,,,,,,,,,,1,,,Security Council,,,,,,,,nsubj,,3,,,,,,,,276,,,1,,
,,,,,Security Council,,,,,,ORG,,,,,NON,,,1,,,1,6,VERB,3,,nsubj,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,1,,,Treiki disclosed the planned missile tests during Security Council debate Tuesday night after the U.S. 6th Fleet informed Libyan air traffic controllers so they could divert civilian air traffic .,,,,,,,,ORG,,,,,,,,,1,,ORGORG,,,,,,,,,,,,,,,the U.S. 6th Fleet,1,,,1,,,,compound,,2,,,1,,,,,276,1,,,,
,,,,,Libyan,,,,,,ORG,,,1,,NON,,,,,,,7,VERB,3,,compound,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,Treiki disclosed the planned missile tests during Security Council debate Tuesday night after the U.S. 6th Fleet informed Libyan air traffic controllers so they could divert civilian air traffic .,1,,1,1,1,,,NORP,,,,,,,,1,,,ORGNORP,,,,,,1,,,,,,1,,,Security Council,,,,,,,,amod,,3,,,,,,,,276,,1,1,,
,,,,,the U.S. 6th Fleet,,,,,,DATE,,,1,,NON,,,,,,,5,VERB,2,,compound,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,1,,,Treiki disclosed the planned missile tests during Security Council debate Tuesday night after the U.S. 6th Fleet informed Libyan air traffic controllers so they could divert civilian air traffic .,,,1,,,1,,ORG,,,,,,,,1,,,DATEORG,,,,,,,,,,,,,,,Tuesday,,,,,,,,nsubj,,2,,,,,,,,276,,,1,,
,,,,,Libyan,,,,,,ORG,,,,,NON,,,,,,,4,VERB,2,,nsubj,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,Treiki disclosed the planned missile tests during Security Council debate Tuesday night after the U.S. 6th Fleet informed Libyan air traffic controllers so they could divert civilian air traffic .,,,,1,1,,,NORP,,,,,,,,,,,ORGNORP,,,,,,1,,,,,,,,,the U.S. 6th Fleet,,,,,,,,amod,,1,,,1,,,,,276,,1,,,
,,,,,U.S.,,,,,,PERSON,,,,,LIV,,,2,,,,3,PROPN,2,,nsubj,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,"Deputy U.S. Ambassador Herbert S. Okun announced the cancellation just before the council began debate , and officials in Washington confirmed it .",,,,,,,,GPE,,,,,,,,,,,PERSONGPE,,,,,,,,,,,,,,,Herbert S. Okun,,,,,,,,compound,,0,,,,,,,,278,,,,,
,,,,1,Washington,,,,,,GPE,,,1,,NON,,,,,,1,8,VERB,4,,compound,,,,,,,,,,,,3,,,,,,,,,,,,,,,,1,,,"Deputy U.S. Ambassador Herbert S. Okun announced the cancellation just before the council began debate , and officials in Washington confirmed it .",,,,,,1,,GPE,,,,,,,,,,,GPEGPE,,,,,,,,,,,,,,,U.S.,1,,,1,,,,pobj,,3,,,1,,,,,278,,1,2,,
,,,,,U.S.,,,,,,GPE,,,,,NON,,,2,,,,8,VERB,3,,pobj,,,,,,,,1,,,,1,,,,1,1,,,,,,,,,,,3,,,"Deputy U.S. Ambassador Herbert S. Okun announced the cancellation just before the council began debate , and officials in Washington confirmed it .",1,,,,,1,,GPE,,,,,,,,,1,,GPEGPE,,,,,,,,,,,,1,,,Washington,,,,,,,,compound,,4,,,1,,,,,278,,,,,
,,,,1,Washington,,,,,,PERSON,,,1,,NON,,,,,,1,6,VERB,4,,nsubj,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,"Deputy U.S. Ambassador Herbert S. Okun announced the cancellation just before the council began debate , and officials in Washington confirmed it .",,,,,,1,,GPE,,,,,,,,,,,PERSONGPE,,,,,,,,,,,,,,,Herbert S. Okun,1,,,1,,,,pobj,,1,,,1,,,,,278,,1,,,
,,,,,U.S.,,,,,,PERSON,,,,,LIV,,,2,,,,3,PROPN,2,,nsubj,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,"On Friday , U.S. Ambassador Vernon A. Walters displayed photographs of one Libyan jet showing shapes resembling missile pods on its wings and fuselage .",,,,,,,,GPE,,,,,,,,,,,PERSONGPE,,,,,,,,,,,,,,,Vernon A. Walters,,,,,,,,compound,,0,,,,,,,,281,,,,,
,,,,,Libyan,,,,,,GPE,,,,,NON,,,,,,1,8,VERB,4,,compound,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,"On Friday , U.S. Ambassador Vernon A. Walters displayed photographs of one Libyan jet showing shapes resembling missile pods on its wings and fuselage .",,,,1,1,,,NORP,,,,,,,,,,,GPENORP,,,,,,1,,,,,,,,,U.S.,1,,,1,,,,amod,,3,,,1,,,,,281,1,1,2,,
,,,,,Libyan,,,,,,PERSON,,,,,NON,,,,,,1,6,VERB,4,,nsubj,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,"On Friday , U.S. Ambassador Vernon A. Walters displayed photographs of one Libyan jet showing shapes resembling missile pods on its wings and fuselage .",,,,1,1,,,NORP,,,,,,,,,,,PERSONNORP,,,,,,1,,,,,,,,,Vernon A. Walters,1,,,1,,,,amod,,1,,,1,,,,,281,1,1,,,
,,,,,Libya,,,,,,PERSON,,,,,LIV,,,,,,,3,NOUN,1,,appos,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,"Libya 's deputy ambassador , Ali Sunni Muntasser , said the pictures were retouched and the planes were unarmed and on reconnaissance flights .",,,,,,,,GPE,,,,,,,,,,,PERSONGPE,,,,,,,,,,,,,,,Ali Sunni Muntasser,,,,,,,,poss,,1,,,,,,,,282,,,,,
,,,,,Canada,,,,,,PERSON,,,,,LIV,,,,,,,3,NOUN,1,,appos,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,"Canada 's ambassador , Yves Fortier , said the resolution contained ` ` a one-sided account. ' '",,,,,,,,GPE,,,,,,,,,,,PERSONGPE,,,,,,,,,,,,,,,Yves Fortier,,,,,,,,poss,,1,,,,,,,,285,,,,,
,,,,,France,,,,,,PERSON,,,,,LIV,,,,,,,3,NOUN,1,,appos,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,"France 's deputy representative , M. Pierre Brochand , expressed similar sentiments .",,,,,,,,GPE,,,,,,,,,,,PERSONGPE,,,,,,,,,,,,,,,M. Pierre Brochand,,,,,,,,poss,,1,,,,,,,,286,,,,,
,,,,,U.S,,,,,,GPE,,,,,NON,,,1,,,,5,VERB,2,,pobj,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,"In Washington , U.S officials announced that the Navy will rotate two aircraft carrier battle groups well away from Libya as one replaces the other .",1,,,,,1,,GPE,,,,,,,,,,,GPEGPE,,,,,,,,,,,,1,,,Washington,,,,,,,,compound,,2,,,,,,,,287,,1,,,
,,,,,Washington,,,,,,GPE,,,,,NON,,,,,,1,5,VERB,2,,compound,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,,,"In Washington , U.S officials announced that the Navy will rotate two aircraft carrier battle groups well away from Libya as one replaces the other .",,,,,,,,GPE,,,,,,,,,,,GPEGPE,,,,,,,,,,,,,,,U.S,1,,,1,,,,pobj,,2,,,1,,,,,287,,,1,,
,,,,,Washington,1,,,,,ORG,,,,,NON,,,,,,1,5,VERB,2,,nsubj,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,"In Washington , U.S officials announced that the Navy will rotate two aircraft carrier battle groups well away from Libya as one replaces the other .",,,,,,,,GPE,,1,,,,,,,,,ORGGPE,,,,,,,,,,,,,,,Navy,1,,,1,,,,pobj,,2,,,1,,,,,287,,,,,
,,,,,Libya,,1,,,,GPE,,,,,NON,,,,,,1,7,VERB,4,,pobj,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,"In Washington , U.S officials announced that the Navy will rotate two aircraft carrier battle groups well away from Libya as one replaces the other .",1,,,,,,,GPE,,,,,,,,,,,GPEGPE,,1,,,,,,,,,,1,1,,Washington,1,,,1,,,,pobj,,2,,,,,1,,,287,,,,,
,,,,,Washington,1,,,,,GPE,,,,,NON,,,,,,1,7,VERB,2,,pobj,1,,,,,,,,,,,1,,,,1,,,,,1,,,,,,,1,,,"In Washington , U.S officials announced that the Navy will rotate two aircraft carrier battle groups well away from Libya as one replaces the other .",1,,,,,,,GPE,,1,,,,,,,,,GPEGPE,,,,,,,,,,,,1,,,Libya,1,,,1,,,,pobj,,4,,,,,,,,287,,,,,
